Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
1012897	1531500264	917	1386504	10774.298534639487	11901041.071800144	16290739.384374904	17994374100.561817	1012897	1531500264	917	1386504	10774.298534639487	11901041.071800144	16290739.384374904	17994374100.561817	voice
1013843	1532930616	946	1430352	9470.50847684174	10149692.099034525	14319408.816984713	15346334453.740202	1013843	1532930616	946	1430352	9470.50847684174	10149692.099034525	14319408.816984713	15346334453.740202	voice
1014753	1534306536	910	1375920	8452.063492063493	9425007.455782313	12779520.0	14250611273.142857	1014753	1534306536	910	1375920	8452.063492063493	9425007.455782313	12779520.0	14250611273.142857	voice
1015670	1535693040	917	1386504	9194.45099506353	10183781.943463657	13902009.904536055	15397878298.51705	1015670	1535693040	917	1386504	9194.45099506353	10183781.943463657	13902009.904536055	15397878298.51705	voice
1016572	1537056864	902	1363824	8337.418836456434	9396437.407332806	12606177.28072213	14207413359.887203	1016572	1537056864	902	1363824	8337.418836456434	9396437.407332806	12606177.28072213	14207413359.887203	voice
1017499	1538458488	927	1401624	10125.839387468097	11114381.284691911	15310269.153851762	16804944502.45417	1017499	1538458488	927	1401624	10125.839387468097	11114381.284691911	15310269.153851762	16804944502.45417	voice
1018407	1539831384	908	1372896	10471.315811614486	11744560.927047217	15832629.507161101	17757776121.695393	1018407	1539831384	908	1372896	10471.315811614486	11744560.927047217	15832629.507161101	17757776121.695393	voice
1019382	1541305584	975	1474200	8397.220533880904	8779462.012583163	12696597.447227927	13274546563.025742	1019382	1541305584	975	1474200	8397.220533880904	8779462.012583163	12696597.447227927	13274546563.025742	voice
1020306	1542702672	924	1397088	10863.148604103599	11995384.956340397	16425080.689404642	18137022053.98668	1020306	1542702672	924	1397088	10863.148604103599	11995384.956340397	16425080.689404642	18137022053.98668	voice
1021198	1544051376	892	1348704	7970.055020855435	9124444.223304404	12050723.191533418	13796159665.63626	1021198	1544051376	892	1348704	7970.055020855435	9124444.223304404	12050723.191533418	13796159665.63626	voice
1022099	1545413688	901	1362312	9929.576953495522	11264162.79088881	15013520.353685228	17031414139.823883	1022099	1545413688	901	1362312	9929.576953495522	11264162.79088881	15013520.353685228	17031414139.823883	voice
